Symbol,Sector,Shares Outstanding,Market Price,Percent Change,Last Trade On,52 Week Low/High,180 Day Average,120 Day Average,One Year Yield,EPS,P/E Ratio,Book Value,P/B Ratio,Dividend,180Change,Technical Quality,Fundamental Health,Final Rating
BFC,Finance,"8,904,242.36",495.00,1.43 %,2026/03/12 02:59:57,604.80-411.50,469.22,473.71,-17.50%,"3.93                                                                    (FY:082-083, Q:2)",125.95,107.30,4.61,,5.49,0.5680,0.0497,0.3088
GFCL,Finance,"9,461,152.00",682.30,0.04 %,2026/03/12 02:59:42,756.80-528.30,616.66,624.42,-3.91%,"23.61                                                                    (FY:082-083, Q:2)",28.90,256.65,2.66,,10.64,0.3260,0.1029,0.2145
HDL,Manufacturing And Processing,"36,880,821.75","1,200.00",0.42 %,2026/03/12 02:59:55,"1,556.10-1,103.00","1,199.87","1,153.53",-1.23%,"24.31                                                                    (FY:082-083, Q:2)",49.36,120.87,9.93,5.00                                                                    (FY:081-082),0,0,0,0.0000
PFL,Finance,"10,825,566.05",403.00,1 %,2026/03/12 02:59:55,498.00-352.80,379.03,376.12,-11.06%,"43.20                                                                    (FY:082-083, Q:2)",9.33,78.22,5.15,,6.32,0.6543,0.1246,0.3895
NMB,Commercial Banks,"192,850,410.00",257.00,1.7 %,2026/03/12 02:59:54,283.00-231.00,241.73,242.05,0.39%,"17.10                                                                    (FY:082-083, Q:2)",15.03,169.36,1.52,5.00                                                                    (FY:081-082),6.32,0.5000,0.1848,0.3424
SIFC,Finance,"10,000,000.00",605.00,0.02 %,2026/03/12 02:59:48,687.40-459.00,530.44,543.87,11.42%,"2.43                                                                    (FY:082-083, Q:2)",248.97,136.25,4.44,6.40                                                                    (FY:081-082),14.06,0.3608,0.0483,0.2046
CFCL,Finance,"9,488,754.59",550.00,0.92 %,2026/03/12 02:59:59,651.00-445.10,504.42,511.46,-8.03%,"8.26                                                                    (FY:082-083, Q:2)",66.59,113.65,4.84,,9.04,0.4905,0.0533,0.2719
JFL,Finance,"6,904,728.00",452.00,0.44 %,2026/03/12 02:59:25,558.00-395.00,431.64,429.58,-16.45%,"-6.48                                                                    (FY:082-083, Q:2)",-69.75,-5.49,-82.33,,4.72,0.6503,-0.0139,0.3182
PRVU,Commercial Banks,"235,424,900.00",213.20,4.05 %,2026/03/12 02:59:57,250.90-179.90,191.04,187.48,-2.87%,"8.62                                                                    (FY:082-083, Q:2)",24.73,146.17,1.46,,11.60,0.5310,0.1693,0.3502
SFCL,Finance,"8,189,114.00",414.50,1.15 %,2026/03/12 02:59:36,587.00-359.40,395.61,391.00,-25.29%,"0.29                                                                    (FY:082-083, Q:2)","1,429.31",59.96,6.91,,4.77,0.7579,0,0.3790
GMFIL,Finance,"10,121,760.00",489.00,2.95 %,2026/03/12 02:59:54,557.00-393.10,463.55,467.61,-5.27%,"3.33                                                                    (FY:082-083, Q:2)",146.85,164.67,2.97,,5.49,0.4149,0.0728,0.2439
SWBBL,Microfinance,"17,500,000.00",773.50,1.11 %,2026/03/12 02:59:46,"1,046.50-718.00",773.32,762.13,-10.42%,"19.73                                                                    (FY:082-083, Q:2)",39.20,218.53,3.54,4.36                                                                    (FY:081-082),0.02,0,0.0769,0.0384
ICFC,Finance,"11,834,709.60",675.00,0.75 %,2026/03/12 02:59:57,730.90-555.00,644.24,646.93,5.65%,"5.41                                                                    (FY:082-083, Q:2)",124.77,170.19,3.97,15.79                                                                    (FY:081-082),4.77,0.3178,0.0568,0.1873
EDBL,Development Bank Limited,"12,496,944.70",612.00,0.82 %,2026/03/12 02:59:50,717.30-545.00,594.65,593.07,-11.30%,"14.17                                                                    (FY:082-083, Q:2)",43.19,177.95,3.44,,2.92,0.6111,0.0767,0.3439
NTC,Others,"180,000,000.00",887.00,-0.39 %,2026/03/12 02:59:34,942.50-762.50,862.27,865.13,-3.06%,"46.27                                                                    (FY:082-083, Q:2)",19.17,539.51,1.64,30.00                                                                    (FY:081-082),2.87,0.3083,0.1637,0.2360
PROFL,Finance,"8,481,060.00",490.00,1.98 %,2026/03/12 02:59:54,589.20-421.40,465.49,464.78,-13.27%,"-6.90                                                                    (FY:082-083, Q:2)",-71.01,73.93,6.63,,5.27,0.5912,0.0189,0.3050
GBIME,Commercial Banks,"381,158,530.00",244.30,1.92 %,2026/03/12 02:59:57,278.90-210.70,230.50,227.58,8.29%,"17.06                                                                    (FY:082-083, Q:2)",14.32,175.29,1.39,8.00                                                                    (FY:081-082),5.99,0.5073,0.1998,0.3535
CZBIL,Commercial Banks,"155,074,636.14",216.70,2.65 %,2026/03/12 02:59:59,240.10-183.00,197.07,194.81,2.07%,"4.63                                                                    (FY:082-083, Q:2)",46.80,149.79,1.45,0.26                                                                    (FY:081-082),9.96,0.4098,0.1550,0.2824
PCBL,Commercial Banks,"209,547,817.73",253.00,2.02 %,2026/03/12 02:59:41,290.00-226.00,243.77,244.84,-2.32%,"19.50                                                                    (FY:082-083, Q:2)",12.97,165.80,1.53,0.42                                                                    (FY:081-082),3.79,0.5781,0.1924,0.3852
LBBL,Development Bank Limited,"36,236,781.62",505.70,2.16 %,2026/03/12 02:59:57,646.30-376.50,474.87,473.30,9.22%,"15.75                                                                    (FY:082-083, Q:2)",32.11,196.98,2.57,,6.49,0.5211,0.1027,0.3119
AHPC,Hydro Power,"40,404,031.50",306.00,1.66 %,2026/03/12 02:59:59,334.00-242.50,278.41,276.76,16.79%,"4.95                                                                    (FY:082-083, Q:2)",61.82,114.90,2.66,0.26                                                                    (FY:081-082),9.91,0.3060,0.0881,0.1971
MDB,Development Bank Limited,"12,171,000.00",661.90,1.64 %,2026/03/12 02:59:59,729.70-530.50,597.74,604.94,-2.11%,"9.37                                                                    (FY:082-083, Q:2)",70.64,135.98,4.87,10.00                                                                    (FY:081-082),10.73,0.3404,0.0524,0.1964
ALICL,Life Insurance,"52,512,171.70",481.20,1.09 %,2026/03/12 02:59:25,779.00-430.00,467.21,467.22,-37.51%,"10.04                                                                    (FY:082-083, Q:2)",47.93,127.37,3.78,5.53                                                                    (FY:081-082),2.99,0.8533,0.0696,0.4614
HLI,Life Insurance,"91,432,373.10",386.50,0.91 %,2026/03/12 02:59:49,464.00-354.80,373.79,372.59,-11.56%,"4.54                                                                    (FY:082-083, Q:2)",85.13,106.91,3.62,8.00                                                                    (FY:080-081),3.40,0.7097,0.0646,0.3871
NMLBBL,Microfinance,"13,977,642.72",654.90,0.05 %,2026/03/12 02:59:39,807.00-600.00,639.44,642.34,-2.31%,"11.18                                                                    (FY:082-083, Q:2)",58.58,212.76,3.08,,2.42,0.7348,0.0786,0.4067
ADBL,Commercial Banks,"143,055,190.90",316.00,1.54 %,2026/03/12 02:59:57,344.90-272.30,304.56,301.46,7.85%,"5.33                                                                    (FY:082-083, Q:2)",59.29,224.37,1.41,9.75                                                                    (FY:081-082),3.76,0.3981,0.1553,0.2767
MLBL,Development Bank Limited,"45,112,810.70",392.00,1.03 %,2026/03/12 02:59:58,468.60-348.90,376.35,375.30,-16.22%,"13.56                                                                    (FY:082-083, Q:2)",28.91,162.36,2.41,5.37                                                                    (FY:081-082),4.16,0.6399,0.1107,0.3753
